Term,Easy,Formal
BRAF gene,A gene that makes a protein that is involved in sending signals in cells and in cell growth. Mutated (changed) forms of the BRAF gene and protein have been found in many types of cancer. These changes can increase the growth and spread of cancer cells.,A gene that makes a protein that is involved in sending signals in cells and in cell growth. Mutated (changed) forms of the BRAF gene and protein have been found in many types of cancer. These changes can increase the growth and spread of cancer cells.
breast implant,A silicone gel-filled or saline-filled sac placed under the chest muscle to restore breast shape.,A silicone gel-filled or saline-filled sac placed under the chest muscle to restore breast shape.
breast reconstruction,Surgery to rebuild the shape of the breast after a mastectomy.,Surgery to rebuild the shape of the breast after a mastectomy.
breast-conserving surgery,"Surgery to remove cancer or other abnormal tissue from the breast and some normal tissue around it, but not the breast itself. Some lymph nodes under the arm may be removed for biopsy. Part of the chest wall lining may also be removed if the cancer is near it. Also called breast-sparing surgery, lumpectomy, partial mastectomy, quadrantectomy, and segmental mastectomy.","Surgery to remove cancer or other abnormal tissue from the breast and some normal tissue around it, but not the breast itself. Some lymph nodes under the arm may be removed for biopsy. Part of the chest wall lining may also be removed if the cancer is near it. Also called breast-sparing surgery, lumpectomy, partial mastectomy, quadrantectomy, and segmental mastectomy."
sunscreen,"A substance that helps protect the skin from the sun's harmful rays. Sunscreens reflect, absorb, and scatter both ultraviolet A and B radiation to provide protection against both types of radiation. Using lotions, creams, or gels that contain sunscreens can help protect the skin from premature aging and damage that may lead to skin cancer.","A substance that helps protect the skin from the sun's harmful rays. Sunscreens reflect, absorb, and scatter both ultraviolet A and B radiation to provide protection against both types of radiation. Using lotions, creams, or gels that contain sunscreens can help protect the skin from premature aging and damage that may lead to skin cancer."
bronchiole,A tiny branch of air tubes in the lungs. Enlarge,A tiny branch of air tubes in the lungs.
grade,"In cancer, a description of a tumor based on how abnormal the cancer cells and tissue look under a microscope and how quickly the cancer cells are likely to grow and spread. Low-grade cancer cells look more like normal cells and tend to grow and spread more slowly than high-grade cancer cells. Grading systems are different for each type of cancer. They are used to help plan treatment and determine prognosis. Also called histologic grade and tumor grade.","In cancer, a description of a tumor based on how abnormal the cancer cells and tissue look under a microscope and how quickly the cancer cells are likely to grow and spread. Low-grade cancer cells look more like normal cells and tend to grow and spread more slowly than high-grade cancer cells. Grading systems are different for each type of cancer. They are used to help plan treatment and determine prognosis. Also called histologic grade and tumor grade."
screening,"Checking for disease when there are no symptoms. Since screening may find diseases at an early stage, there may be a better chance of curing the disease. Examples of cancer screening tests are the mammogram (for breast cancer), colonoscopy (for colon cancer), and the Pap test and HPV tests (for cervical cancer). Screening can also include doing a genetic test to check for a person’s risk of developing an inherited disease.","Checking for disease when there are no symptoms. Since screening may find diseases at an early stage, there may be a better chance of curing the disease. Examples of cancer screening tests are the mammogram (for breast cancer), colonoscopy (for colon cancer), and the Pap test and HPV tests (for cervical cancer). Screening can also include doing a genetic test to check for a person’s risk of developing an inherited disease."
CAPOX,An abbreviation for a chemotherapy combination used to treat advanced colorectal cancer. It is also being studied in the treatment of other types of cancer. It includes the drugs capecitabine and oxaliplatin. Also called CAPOX regimen.,An abbreviation for a chemotherapy combination used to treat advanced colorectal cancer. It is also being studied in the treatment of other types of cancer. It includes the drugs capecitabine and oxaliplatin. Also called CAPOX regimen.
carcinoembryonic antigen,"A substance that may be found in the blood of people who have colon cancer, other types of cancer or diseases, or who smoke tobacco. Carcinoembryonic antigen levels may help keep track of how well cancer treatments are working or if cancer has come back. It is a type of tumor marker. Also called CEA.","A substance that may be found in the blood of people who have colon cancer, other types of cancer or diseases, or who smoke tobacco. Carcinoembryonic antigen levels may help keep track of how well cancer treatments are working or if cancer has come back. It is a type of tumor marker. Also called CEA."
carcinoma in situ,"A condition in which abnormal cells that look like cancer cells under a microscope are found only in the place where they first formed and haven’t spread to nearby tissue. At some point, these cells may become cancerous and spread into nearby normal tissue. There are many different types of carcinoma in situ depending on the type of tissue in which it began. These include adenocarcinoma in situ (of the cervix, lungs, and gastrointestinal tract), ductal carcinoma in situ (of the breast), and squamous cell carcinoma in situ (of the skin, mouth, and larynx). Also called stage 0 disease.","A condition in which abnormal cells that look like cancer cells under a microscope are found only in the place where they first formed and haven’t spread to nearby tissue. At some point, these cells may become cancerous and spread into nearby normal tissue. There are many different types of carcinoma in situ depending on the type of tissue in which it began. These include adenocarcinoma in situ (of the cervix, lungs, and gastrointestinal tract), ductal carcinoma in situ (of the breast), and squamous cell carcinoma in situ (of the skin, mouth, and larynx). Also called stage 0 disease."
castration,"Removal or destruction of the testicles or ovaries using radiation, surgery, or drugs. Medical castration refers to the use of drugs to suppress the function of the ovaries or testicles.","Removal or destruction of the testicles or ovaries using radiation, surgery, or drugs. Medical castration refers to the use of drugs to suppress the function of the ovaries or testicles."
cervical intraepithelial neoplasia,"A term used to describe abnormal cells that are found on the surface of the cervix when a biopsy is done. Cervical intraepithelial neoplasia is usually caused by infection with certain types of human papillomavirus (HPV). Cervical intraepithelial neoplasia is not cancer but may become cancer and spread to nearby normal tissue. It is graded on a scale of 1 to 3, based on how abnormal the cells look under a microscope and how much of the cervical tissue is affected. For example, CIN 1 has slightly abnormal cells and is less likely to become cancer than CIN 2 or CIN 3. Cervical intraepithelial neoplasia is sometimes called cervical dysplasia. Also called CIN.","A term used to describe abnormal cells that are found on the surface of the cervix when a biopsy is done. Cervical intraepithelial neoplasia is usually caused by infection with certain types of human papillomavirus (HPV). Cervical intraepithelial neoplasia is not cancer but may become cancer and spread to nearby normal tissue. It is graded on a scale of 1 to 3, based on how abnormal the cells look under a microscope and how much of the cervical tissue is affected. For example, CIN 1 has slightly abnormal cells and is less likely to become cancer than CIN 2 or CIN 3. Cervical intraepithelial neoplasia is sometimes called cervical dysplasia. Also called CIN."
CAR T-cell therapy,"A type of treatment in which a patient's T cells (a type of immune system cell) are changed in the laboratory so they will attack cancer cells. T cells are taken from a patient’s blood. Then the gene for a special receptor that binds to a certain protein on the patient’s cancer cells is added to the T cells in the laboratory. The special receptor is called a chimeric antigen receptor (CAR). Large numbers of the CAR T cells are grown in the laboratory and given to the patient by infusion. CAR T-cell therapy is used to treat certain blood cancers, and it is being studied in the treatment of other types of cancer. Also called chimeric antigen receptor T-cell therapy.","A type of treatment in which a patient's T cells (a type of immune system cell) are changed in the laboratory so they will attack cancer cells. T cells are taken from a patient’s blood. Then the gene for a special receptor that binds to a certain protein on the patient’s cancer cells is added to the T cells in the laboratory. The special receptor is called a chimeric antigen receptor (CAR). Large numbers of the CAR T cells are grown in the laboratory and given to the patient by infusion. CAR T-cell therapy is used to treat certain blood cancers, and it is being studied in the treatment of other types of cancer. Also called chimeric antigen receptor T-cell therapy."
chronic obstructive pulmonary disease,"A type of lung disease marked by permanent damage to tissues in the lungs, making it hard to breathe. Chronic obstructive pulmonary disease includes chronic bronchitis, in which the bronchi (large air passages) are inflamed and scarred, and emphysema, in which the alveoli (tiny air sacs) are damaged. It develops over many years and is usually caused by cigarette smoking. Also called COPD.","A type of lung disease marked by permanent damage to tissues in the lungs, making it hard to breathe. Chronic obstructive pulmonary disease includes chronic bronchitis, in which the bronchi (large air passages) are inflamed and scarred, and emphysema, in which the alveoli (tiny air sacs) are damaged. It develops over many years and is usually caused by cigarette smoking. Also called COPD."
clinical breast exam,A physical exam of the breast performed by a health care provider to check for lumps or other changes. Also called CBE.,A physical exam of the breast performed by a health care provider to check for lumps or other changes. Also called CBE.
colectomy,"An operation to remove all or part of the colon. When only part of the colon is removed, it is called a partial colectomy. In an open colectomy, one long incision is made in the wall of the abdomen and doctors can see the colon directly. In a laparoscopic-assisted colectomy, several small incisions are made and a thin, lighted tube attached to a video camera is inserted through one opening to guide the surgery. Surgical instruments are inserted through the other openings to perform the surgery.","An operation to remove all or part of the colon. When only part of the colon is removed, it is called a partial colectomy. In an open colectomy, one long incision is made in the wall of the abdomen and doctors can see the colon directly. In a laparoscopic-assisted colectomy, several small incisions are made and a thin, lighted tube attached to a video camera is inserted through one opening to guide the surgery. Surgical instruments are inserted through the other openings to perform the surgery."
colonoscopy,"Examination of the inside of the colon using a colonoscope, inserted into the rectum. A colonoscope is a thin, tube-like instrument with a light and a lens for viewing. It may also have a tool to remove tissue to be checked under a microscope for signs of disease.","Examination of the inside of the colon using a colonoscope, inserted into the rectum. A colonoscope is a thin, tube-like instrument with a light and a lens for viewing. It may also have a tool to remove tissue to be checked under a microscope for signs of disease."
colostomy,An opening into the colon from the outside of the body. A colostomy provides a new path for waste material to leave the body after part of the colon has been removed.,An opening into the colon from the outside of the body. A colostomy provides a new path for waste material to leave the body after part of the colon has been removed.
combination therapy,Therapy that combines more than one method of treatment. Also called multimodality therapy and multimodality treatment.,Therapy that combines more than one method of treatment. Also called multimodality therapy and multimodality treatment.
complete blood count,"A measure of the number of red blood cells, white blood cells, and platelets in the blood. The amount of hemoglobin (substance in the blood that carries oxygen) and the hematocrit (the amount of whole blood that is made up of red blood cells) are also measured. A complete blood count is used to help diagnose and monitor many conditions. Also called blood cell count, CBC, and full blood count.","A measure of the number of red blood cells, white blood cells, and platelets in the blood. The amount of hemoglobin (substance in the blood that carries oxygen) and the hematocrit (the amount of whole blood that is made up of red blood cells) are also measured. A complete blood count is used to help diagnose and monitor many conditions. Also called blood cell count, CBC, and full blood count."
complete response,The disappearance of all signs of cancer in response to treatment. This does not always mean the cancer has been cured. Also called complete remission.,The disappearance of all signs of cancer in response to treatment. This does not always mean the cancer has been cured. Also called complete remission.
lymph node dissection,"A surgical procedure in which the lymph nodes are removed and a sample of tissue is checked under a microscope for signs of cancer. For a regional lymph node dissection, some of the lymph nodes in the tumor area are removed; for a radical lymph node dissection, most or all of the lymph nodes in the tumor area are removed. Also called lymphadenectomy.","A surgical procedure in which the lymph nodes are removed and a sample of tissue is checked under a microscope for signs of cancer. For a regional lymph node dissection, some of the lymph nodes in the tumor area are removed; for a radical lymph node dissection, most or all of the lymph nodes in the tumor area are removed. Also called lymphadenectomy."
computed tomography scan,"A procedure that uses a computer linked to an x-ray machine to make a series of detailed pictures of areas inside the body. The pictures are taken from different angles and are used to create 3-dimensional (3-D) views of tissues and organs. A dye may be injected into a vein or swallowed to help the tissues and organs show up more clearly. A computed tomography scan may be used to help diagnose disease, plan treatment, or find out how well treatment is working. Also called CAT scan, computerized axial tomography scan, computerized tomography, and CT scan.","A procedure that uses a computer linked to an x-ray machine to make a series of detailed pictures of areas inside the body. The pictures are taken from different angles and are used to create 3-dimensional (3-D) views of tissues and organs. A dye may be injected into a vein or swallowed to help the tissues and organs show up more clearly. A computed tomography scan may be used to help diagnose disease, plan treatment, or find out how well treatment is working. Also called CAT scan, computerized axial tomography scan, computerized tomography, and CT scan."
continent reservoir,A pouch formed from a piece of small intestine to hold urine after the bladder has been removed.,A pouch formed from a piece of small intestine to hold urine after the bladder has been removed.
contrast material,,"A dye or other substance that helps show abnormal areas inside the body. It is given by injection into a vein, by enema, or by mouth. Contrast material may be used with x-rays, CT scans, MRI, or other imaging tests."
cytogenetics,"The study of chromosomes, which are long strands of DNA and protein that contain most of the genetic information in a cell. Cytogenetics involves testing samples of tissue, blood, or bone marrow in a laboratory to look for changes in chromosomes, including broken, missing, rearranged, or extra chromosomes. Changes in certain chromosomes may be a sign of a genetic disease or condition or some types of cancer. Cytogenetics may be used to help diagnose a disease or condition, plan treatment, or find out how well treatment is working.","The study of chromosomes, which are long strands of DNA and protein that contain most of the genetic information in a cell. Cytogenetics involves testing samples of tissue, blood, or bone marrow in a laboratory to look for changes in chromosomes, including broken, missing, rearranged, or extra chromosomes. Changes in certain chromosomes may be a sign of a genetic disease or condition or some types of cancer. Cytogenetics may be used to help diagnose a disease or condition, plan treatment, or find out how well treatment is working."
cytokine release syndrome,"A condition that may occur after treatment with some types of immunotherapy, such as monoclonal antibodies and CAR-T cells. Cytokine release syndrome is caused by a large, rapid release of cytokines into the blood from immune cells affected by the immunotherapy. Cytokines are immune substances that have many different actions in the body. Signs and symptoms of cytokine release syndrome include fever, nausea, headache, rash, rapid heartbeat, low blood pressure, and trouble breathing. Most patients have a mild reaction, but sometimes, the reaction may be severe or life threatening.","A condition that may occur after treatment with some types of immunotherapy, such as monoclonal antibodies and CAR-T cells. Cytokine release syndrome is caused by a large, rapid release of cytokines into the blood from immune cells affected by the immunotherapy. Cytokines are immune substances that have many different actions in the body. Signs and symptoms of cytokine release syndrome include fever, nausea, headache, rash, rapid heartbeat, low blood pressure, and trouble breathing. Most patients have a mild reaction, but sometimes, the reaction may be severe or life threatening."
deoxyribonucleic acid,"The molecule inside cells that contains the genetic information needed for a person and most other organisms to develop and grow and is passed from one generation to the next. Deoxyribonucleic acid is made up of two strands that twist into the shape of a spiral ladder called a double helix. Each strand has a backbone that is made up of sugar and phosphate molecules that attach to one of four bases: adenine (A), thymine (T), guanine (G), and cytosine (C). The bases pair up with one another (A with T, and G with C) to form chemical bonds, which act like rungs on a ladder. This holds the two strands of deoxyribonucleic acid together. Also called DNA.","The molecule inside cells that contains the genetic information needed for a person and most other organisms to develop and grow and is passed from one generation to the next. Deoxyribonucleic acid is made up of two strands that twist into the shape of a spiral ladder called a double helix. Each strand has a backbone that is made up of sugar and phosphate molecules that attach to one of four bases: adenine (A), thymine (T), guanine (G), and cytosine (C). The bases pair up with one another (A with T, and G with C) to form chemical bonds, which act like rungs on a ladder. This holds the two strands of deoxyribonucleic acid together. Also called DNA."
mitotic rate,"A measure of how fast cancer cells are dividing and growing. To find the mitotic rate, the number of cells dividing in a certain amount of cancer tissue is counted. Mitotic rate is used to help find the stage of melanoma (a type of skin cancer) and other types of cancer. Higher mitotic rates are linked with lower survival rates. Also called MR.","A measure of how fast cancer cells are dividing and growing. To find the mitotic rate, the number of cells dividing in a certain amount of cancer tissue is counted. Mitotic rate is used to help find the stage of melanoma (a type of skin cancer) and other types of cancer. Higher mitotic rates are linked with lower survival rates. Also called MR."
digital rectal examination,"An examination in which a doctor inserts a lubricated, gloved finger into the rectum to feel for abnormalities. Also called DRE.","An examination in which a doctor inserts a lubricated, gloved finger into the rectum to feel for abnormalities. Also called DRE."
donor,"In medicine, a person who gives blood, cells, tissue, or an organ for use in another person, such as in a blood transfusion or an organ transplant.","In medicine, a person who gives blood, cells, tissue, or an organ for use in another person, such as in a blood transfusion or an organ transplant."
ductal carcinoma,"The most common type of breast cancer. It begins in the lining of the milk ducts (thin tubes that carry milk from the lobules of the breast to the nipple). Ductal carcinoma may be either ductal carcinoma in situ (DCIS) or invasive ductal carcinoma. DCIS is a noninvasive condition in which abnormal cells are found in the lining of a breast duct and have not spread outside the duct to other tissues in the breast. In some cases, DCIS may become invasive cancer. In invasive ductal carcinoma, cancer has spread outside the breast duct to surrounding normal tissue. It can also spread through the blood and lymph systems to other parts of the body.","The most common type of breast cancer. It begins in the lining of the milk ducts (thin tubes that carry milk from the lobules of the breast to the nipple). Ductal carcinoma may be either ductal carcinoma in situ (DCIS) or invasive ductal carcinoma. DCIS is a noninvasive condition in which abnormal cells are found in the lining of a breast duct and have not spread outside the duct to other tissues in the breast. In some cases, DCIS may become invasive cancer. In invasive ductal carcinoma, cancer has spread outside the breast duct to surrounding normal tissue. It can also spread through the blood and lymph systems to other parts of the body."
NCI clinical trials cooperative group,"A group of researchers, cancer centers, and community doctors who are involved in studies that test new ways to screen, prevent, diagnose, and treat cancer. Clinical trials run by cooperative groups are funded and supported by the National Cancer Institute (NCI), and large numbers of patients take part in many locations. The current U.S. cooperative groups are the Alliance for Clinical Trials in Oncology, ECOG-ACRIN Cancer Research Group, NRG Oncology, SWOG, and Children’s Oncology Group (COG). The NCI clinical trials cooperative groups are part of the National Clinical Trials Network (NCTN).","A group of researchers, cancer centers, and community doctors who are involved in studies that test new ways to screen, prevent, diagnose, and treat cancer. Clinical trials run by cooperative groups are funded and supported by the National Cancer Institute (NCI), and large numbers of patients take part in many locations. The current U.S. cooperative groups are the Alliance for Clinical Trials in Oncology, ECOG-ACRIN Cancer Research Group, NRG Oncology, SWOG, and Children’s Oncology Group (COG). The NCI clinical trials cooperative groups are part of the National Clinical Trials Network (NCTN)."
ejaculation,The release of semen through the penis during orgasm.,The release of semen through the penis during orgasm.
embolization,"A procedure that uses particles, such as tiny gelatin sponges or beads, to block a blood vessel. Embolization may be used to stop bleeding or to block the flow of blood to a tumor or abnormal area of tissue. It may be used to treat some types of liver cancer, kidney cancer, and neuroendocrine tumors. It may also be used to treat uterine fibroids, aneurysms, and other conditions. Types of embolization are arterial embolization, chemoembolization, and radioembolization.","A procedure that uses particles, such as tiny gelatin sponges or beads, to block a blood vessel. Embolization may be used to stop bleeding or to block the flow of blood to a tumor or abnormal area of tissue. It may be used to treat some types of liver cancer, kidney cancer, and neuroendocrine tumors. It may also be used to treat uterine fibroids, aneurysms, and other conditions. Types of embolization are arterial embolization, chemoembolization, and radioembolization."
endocrine therapy,"Treatment that adds, blocks, or removes hormones. For certain conditions (such as diabetes or menopause), hormones are given to adjust low hormone levels. Hormones can also cause certain cancers (such as prostate and breast cancer) to grow. To slow or stop the growth of cancer, synthetic hormones or other drugs may be given to block the body’s natural hormones, or surgery is used to remove the gland that makes a certain hormone. Also called hormonal therapy, hormone therapy, and hormone treatment.","Treatment that adds, blocks, or removes hormones. For certain conditions (such as diabetes or menopause), hormones are given to adjust low hormone levels. Hormones can also cause certain cancers (such as prostate and breast cancer) to grow. To slow or stop the growth of cancer, synthetic hormones or other drugs may be given to block the body’s natural hormones, or surgery is used to remove the gland that makes a certain hormone. Also called hormonal therapy, hormone therapy, and hormone treatment."
endoscopic ultrasound,"A procedure in which an endoscope is inserted into the body. An endoscope is a thin, tube-like instrument that has a light and a lens for viewing. A probe at the end of the endoscope is used to bounce high-energy sound waves (ultrasound) off internal organs to make a picture (sonogram). Also called endosonography and EUS.","A procedure in which an endoscope is inserted into the body. An endoscope is a thin, tube-like instrument that has a light and a lens for viewing. A probe at the end of the endoscope is used to bounce high-energy sound waves (ultrasound) off internal organs to make a picture (sonogram). Also called endosonography and EUS."
enlarged prostate,"A benign (not cancer) condition in which the prostate gland is larger than normal. As the prostate gets bigger, it may press against the bladder and urethra, which can slow or block the flow of urine from the bladder. This can cause urinary symptoms, such as feeling a need to urinate often or right away, waking up many times during the night to urinate, trouble urinating, leaking urine, pain during urination or after ejaculation (the release of semen through the penis during orgasm), and blood in the urine. An enlarged prostate does not increase a person’s risk of developing prostate cancer. However, if not treated, it can lead to a weak bladder, urinary retention, urinary tract infections, bladder stones, or bladder or kidney damage. An enlarged prostate is most common in older men. Also called benign prostatic hyperplasia, benign prostatic hypertrophy, and BPH.","A benign (not cancer) condition in which the prostate gland is larger than normal. As the prostate gets bigger, it may press against the bladder and urethra, which can slow or block the flow of urine from the bladder. This can cause urinary symptoms, such as feeling a need to urinate often or right away, waking up many times during the night to urinate, trouble urinating, leaking urine, pain during urination or after ejaculation (the release of semen through the penis during orgasm), and blood in the urine. An enlarged prostate does not increase a person’s risk of developing prostate cancer. However, if not treated, it can lead to a weak bladder, urinary retention, urinary tract infections, bladder stones, or bladder or kidney damage. An enlarged prostate is most common in older men. Also called benign prostatic hyperplasia, benign prostatic hypertrophy, and BPH."
erectile dysfunction,An inability to have an erection of the penis adequate for sexual intercourse. Also called impotence.,An inability to have an erection of the penis adequate for sexual intercourse. Also called impotence.
estrogen,"A type of hormone made by the body that helps develop and maintain female sex characteristics and the growth of long bones. Estrogens can also be made in the laboratory. They may be used as a type of birth control and to treat symptoms of menopause, menstrual disorders, osteoporosis, and other conditions.","A type of hormone made by the body that helps develop and maintain female sex characteristics and the growth of long bones. Estrogens can also be made in the laboratory. They may be used as a type of birth control and to treat symptoms of menopause, menstrual disorders, osteoporosis, and other conditions."
surgical excision,"The removal of tissue from the body using a scalpel (a sharp knife), laser, or other cutting tool. A surgical excision is usually done to remove a lump or other suspicious growth. Some normal tissue around the lump is usually removed at the same time.","The removal of tissue from the body using a scalpel (a sharp knife), laser, or other cutting tool. A surgical excision is usually done to remove a lump or other suspicious growth. Some normal tissue around the lump is usually removed at the same time."
external beam radiation therapy,A type of radiation therapy that uses a machine to aim high-energy rays at the cancer from outside of the body. Also called external radiation therapy.,A type of radiation therapy that uses a machine to aim high-energy rays at the cancer from outside of the body. Also called external radiation therapy.
simple hysterectomy,Surgery to remove the uterus and the cervix. The ovaries and fallopian tubes may also be removed. A simple hysterectomy may be done through the vagina (with no incisions in the abdomen) or through an incision (cut) in the abdomen. Also called complete hysterectomy and total hysterectomy.,Surgery to remove the uterus and the cervix. The ovaries and fallopian tubes may also be removed. A simple hysterectomy may be done through the vagina (with no incisions in the abdomen) or through an incision (cut) in the abdomen. Also called complete hysterectomy and total hysterectomy.
familial adenomatous polyposis,"An inherited disorder in which many polyps (usually hundreds to thousands) form on the inner walls of the colon and rectum. Polyps are abnormal growths that may become cancer if they are not removed. People with familial adenomatous polyposis have a very high risk of developing colorectal cancer at an early age and are also at risk of developing cancers of the stomach, small intestine, pancreas, bile duct, liver, adrenal gland, thyroid, and brain. They may also have dental and eye problems and benign (not cancer) tumors in the stomach, small intestine, bone, soft tissue, skin, and adrenal glands. Familial adenomatous polyposis is caused by mutations (changes) in a gene called APC that are inherited in an autosomal dominant manner. It is a type of hereditary cancer syndrome. Also called classic familial adenomatous polyposis, classic familial polyposis, classic FAP, and FAP.","An inherited disorder in which many polyps (usually hundreds to thousands) form on the inner walls of the colon and rectum. Polyps are abnormal growths that may become cancer if they are not removed. People with familial adenomatous polyposis have a very high risk of developing colorectal cancer at an early age and are also at risk of developing cancers of the stomach, small intestine, pancreas, bile duct, liver, adrenal gland, thyroid, and brain. They may also have dental and eye problems and benign (not cancer) tumors in the stomach, small intestine, bone, soft tissue, skin, and adrenal glands. Familial adenomatous polyposis is caused by mutations (changes) in a gene called APC that are inherited in an autosomal dominant manner. It is a type of hereditary cancer syndrome. Also called classic familial adenomatous polyposis, classic familial polyposis, classic FAP, and FAP."
18F-fludeoxyglucose,"A radioactive form of glucose used in positron emission tomography (PET) imaging. 18F-fludeoxyglucose gets taken up by cells in the body, and a PET scanner is used to find which cells in the body have taken it up. Since more 18F-fludeoxyglucose is taken up by abnormal cells, including cancer cells, than by normal cells, it can be used to find cancer cells in the body and to diagnose cancer and other conditions. Also called fluorine F 18-fludeoxyglucose.","A radioactive form of glucose used in positron emission tomography (PET) imaging. 18F-fludeoxyglucose gets taken up by cells in the body, and a PET scanner is used to find which cells in the body have taken it up. Since more 18F-fludeoxyglucose is taken up by abnormal cells, including cancer cells, than by normal cells, it can be used to find cancer cells in the body and to diagnose cancer and other conditions. Also called fluorine F 18-fludeoxyglucose."
fine-needle aspiration biopsy,"The removal of fluid, cells, or tissue with a thin needle for examination under a microscope. Also called FNA biopsy.","The removal of fluid, cells, or tissue with a thin needle for examination under a microscope. Also called FNA biopsy."
first-line therapy,"The first treatment given for a disease. It is often part of a standard set of treatments, such as surgery followed by chemotherapy and radiation. When used by itself, first-line therapy is the one accepted as the best treatment. If it doesn’t cure the disease or it causes severe side effects, other treatment may be added or used instead. Also called induction therapy, primary therapy, and primary treatment.","The first treatment given for a disease. It is often part of a standard set of treatments, such as surgery followed by chemotherapy and radiation. When used by itself, first-line therapy is the one accepted as the best treatment. If it doesn’t cure the disease or it causes severe side effects, other treatment may be added or used instead. Also called induction therapy, primary therapy, and primary treatment."
flow cytometry,"A laboratory method that measures the number of cells, the percentage of live cells, and certain characteristics of cells, such as size and shape, in a sample of blood, bone marrow, or other tissue. The presence of tumor markers, such as antigens, on the surface of the cells are also measured. The cells are stained with a light-sensitive dye, placed in a fluid, and then passed one at a time through a beam of light. The measurements are based on how the stained cells react to the beam of light. Flow cytometry is used in basic research and to help diagnose and manage certain diseases, including cancer.","A laboratory method that measures the number of cells, the percentage of live cells, and certain characteristics of cells, such as size and shape, in a sample of blood, bone marrow, or other tissue. The presence of tumor markers, such as antigens, on the surface of the cells are also measured. The cells are stained with a light-sensitive dye, placed in a fluid, and then passed one at a time through a beam of light. The measurements are based on how the stained cells react to the beam of light. Flow cytometry is used in basic research and to help diagnose and manage certain diseases, including cancer."
fluorescence in situ hybridization,"A laboratory method used to look at genes or chromosomes in cells and tissues. Pieces of DNA that contain a fluorescent dye are made in the laboratory and added to a cell or tissue sample. When these pieces of DNA bind to certain genes or areas on chromosomes in the sample, they light up when viewed under a microscope with a special light. FISH can be used to identify where a specific gene is located on a chromosome, how many copies of the gene are present, and any chromosomal abnormalities. It is used to help diagnose diseases, such as cancer, and help plan treatment. Also called FISH.","A laboratory method used to look at genes or chromosomes in cells and tissues. Pieces of DNA that contain a fluorescent dye are made in the laboratory and added to a cell or tissue sample. When these pieces of DNA bind to certain genes or areas on chromosomes in the sample, they light up when viewed under a microscope with a special light. FISH can be used to identify where a specific gene is located on a chromosome, how many copies of the gene are present, and any chromosomal abnormalities. It is used to help diagnose diseases, such as cancer, and help plan treatment. Also called FISH."
gastrointestinal tract,"The organs that food and liquids travel through when they are swallowed, digested, absorbed, and leave the body as feces. These organs include the mouth, pharynx (throat), esophagus, stomach, small intestine, large intestine, rectum, and anus. The gastrointestinal tract is part of the digestive system. Also called alimentary tract and digestive tract.","The organs that food and liquids travel through when they are swallowed, digested, absorbed, and leave the body as feces. These organs include the mouth, pharynx (throat), esophagus, stomach, small intestine, large intestine, rectum, and anus. The gastrointestinal tract is part of the digestive system. Also called alimentary tract and digestive tract."
hematologist,A doctor who has special training in diagnosing and treating blood disorders.,A doctor who has special training in diagnosing and treating blood disorders.
stem cell transplant,"A procedure in which a patient receives healthy stem cells (blood-forming cells) to replace their own stem cells that have been destroyed by treatment with radiation or high doses of chemotherapy. The healthy stem cells may come from the blood or bone marrow of the patient or from a related or unrelated donor. A stem cell transplant may be autologous (using a patient’s own stem cells that were collected and saved before treatment), allogeneic (using stem cells from a related or unrelated donor), syngeneic (using stem cells donated by an identical twin), or cord blood (using umbilical cord blood donated after a baby is born).","A procedure in which a patient receives healthy stem cells (blood-forming cells) to replace their own stem cells that have been destroyed by treatment with radiation or high doses of chemotherapy. The healthy stem cells may come from the blood or bone marrow of the patient or from a related or unrelated donor. A stem cell transplant may be autologous (using a patient’s own stem cells that were collected and saved before treatment), allogeneic (using stem cells from a related or unrelated donor), syngeneic (using stem cells donated by an identical twin), or cord blood (using umbilical cord blood donated after a baby is born)."
hormone therapy,"Treatment that adds, blocks, or removes hormones. For certain conditions (such as diabetes or menopause), hormones are given to adjust low hormone levels. Hormones can also cause certain cancers (such as prostate and breast cancer) to grow. To slow or stop the growth of cancer, synthetic hormones or other drugs may be given to block the body’s natural hormones, or surgery is used to remove the gland that makes a certain hormone. Also called endocrine therapy, hormonal therapy, and hormone treatment.","Treatment that adds, blocks, or removes hormones. For certain conditions (such as diabetes or menopause), hormones are given to adjust low hormone levels. Hormones can also cause certain cancers (such as prostate and breast cancer) to grow. To slow or stop the growth of cancer, synthetic hormones or other drugs may be given to block the body’s natural hormones, or surgery is used to remove the gland that makes a certain hormone. Also called endocrine therapy, hormonal therapy, and hormone treatment."
human leukocyte antigen,"A type of molecule found on the surface of most cells in the body. Human leukocyte antigens play an important part in the body's immune response to foreign substances. They make up a person’s tissue type, which varies from person to person. Human leukocyte antigen tests are done before a donor stem cell or organ transplant, to find out if tissues match between the donor and the person receiving the transplant. Also called HLA and human lymphocyte antigen.","A type of molecule found on the surface of most cells in the body. Human leukocyte antigens play an important part in the body's immune response to foreign substances. They make up a person’s tissue type, which varies from person to person. Human leukocyte antigen tests are done before a donor stem cell or organ transplant, to find out if tissues match between the donor and the person receiving the transplant. Also called HLA and human lymphocyte antigen."
