Original terms,NIH cancer institue,NIH cancer institue,National library of medicine,,,,,
Polyp,polyp,A growth that protrudes from a mucous membrane.,,,,,,
Portal vein embolization,,,,,,,,
positron emission tomography (PET),positron emission tomography scan,"A procedure in which a small amount of radioactive glucose (sugar) is injected into a vein, and a scanner is used to make detailed, computerized pictures of areas inside the body where the glucose is taken up. Because cancer cells often take up more glucose than normal cells, the pictures can be used to find cancer cells in the body. Also called PET scan.",,,,,,
Positron emission tomography (PET),positron emission tomography scan,"A procedure in which a small amount of radioactive glucose (sugar) is injected into a vein, and a scanner is used to make detailed, computerized pictures of areas inside the body where the glucose is taken up. Because cancer cells often take up more glucose than normal cells, the pictures can be used to find cancer cells in the body. Also called PET scan.",,,,,,
positron emission tomography/computed tomography (PET/CT),positron emission tomography-computed tomography scan,"A procedure that combines the pictures from a positron emission tomography (PET) scan and a computed tomography (CT) scan. The PET and CT scans are done at the same time with the same machine. The combined scans give more detailed pictures of areas inside the body than either scan gives by itself. A positron emission tomography-computed tomography scan may be used to help diagnose disease, such as cancer, plan treatment, or find out how well treatment is working. Also called PET-CT scan.",,,,,,
primary aldosteronism,,"Primary hyperaldosteronism (PA) is an underdiagnosed cause of hypertension. The classic presentation of PA includes hypertension and hypokalemia. However, in reality, most patients will present without hypokalemia. The two primary causes are aldosterone-producing adenomas and bilateral adrenal hyperplasia of the zona glomerulosa. Familial cases have been found and are classified into Type I, Type II, and Type III familial hyperaldosteronism. Diagnosis can initially be confirmed with the elevated morning aldosterone to plasma renin activity ratio. If the ratio is higher than 20 to 1, then the excess aldosterone points to the adrenal gland as the primary source. The preferred treatment is adrenalectomy in those with unilateral disease. Those who are poor surgical candidates or have bilateral adrenal hyperplasia can be treated medically with mineralocorticoid antagonists as well as antihypertensive agents for further blood pressure control. This activity reviews the evaluation and management of primary hyperaldosteronism and highlights the role of the interprofessional team in identifying and treating this condition.",,,,,,
Progression,progression,"In medicine, the course of a disease, such as cancer, as it becomes worse or spreads in the body.",,,,,,
Prostate-specific antigen (PSA),prostate-specific antigen,"A protein made by the prostate gland and found in the blood. Prostate-specific antigen blood levels may be higher than normal in men who have prostate cancer, benign prostatic hyperplasia (BPH), or infection or inflammation of the prostate gland. Also called PSA.",,,,,,
Prostate-specific membrane antigen (PSMA),prostate-specific membrane antigen,"A protein that is usually found on the surface of normal prostate cells but is found in higher amounts on prostate cancer cells. Prostate-specific membrane antigen may be used as a target in imaging to help find prostate cancer cells, especially those that may have come back or spread to other parts of the body. Research is being done to learn more about prostate-specific membrane antigen and how it may also be used as a target for certain anticancer drugs. Also called PSMA.",,,,,,
proton therapy,proton beam radiation therapy,"A type of radiation therapy that uses streams of protons (tiny particles with a positive charge) to kill tumor cells. This type of treatment can reduce the amount of radiation damage to healthy tissue near a tumor. It is used to treat cancers of the head and neck and organs such as the brain, eye, lung, spine, and prostate. Proton beam radiation is different from x-ray radiation.",,,,,,
PSA persistence,,,,,,,,
PSA recurrence,,,,,,,,
pulmonary function tests,pulmonary function test,A test used to measure how well the lungs work. It measures how much air the lungs can hold and how quickly air is moved into and out of the lungs. It also measures how much oxygen is used and how much carbon dioxide is given off during breathing. A pulmonary function test can be used to diagnose a lung disease and to see how well treatment for the disease is working. Also called lung function test and PFT.,,,,,,
radial endobronchial ultrasound (EBUS) bronchoscopy,,,,,,,,
Radiation therapy,radiation therapy,"The use of high-energy radiation from x-rays, gamma rays, neutrons, protons, and other sources to kill cancer cells and shrink tumors. Radiation may come from a machine outside the body (external-beam radiation therapy), or it may come from radioactive material placed in the body near cancer cells (internal radiation therapy or brachytherapy). Systemic radiation therapy uses a radioactive substance, such as a radiolabeled monoclonal antibody, that travels in the blood to tissues throughout the body. Also called irradiation and radiotherapy.",,,,,,
radiation therapy (RT),radiation therapy,"The use of high-energy radiation from x-rays, gamma rays, neutrons, protons, and other sources to kill cancer cells and shrink tumors. Radiation may come from a machine outside the body (external-beam radiation therapy), or it may come from radioactive material placed in the body near cancer cells (internal radiation therapy or brachytherapy). Systemic radiation therapy uses a radioactive substance, such as a radiolabeled monoclonal antibody, that travels in the blood to tissues throughout the body. Also called irradiation and radiotherapy.",,,,,,
Radiation therapy (RT),radiation therapy,"The use of high-energy radiation from x-rays, gamma rays, neutrons, protons, and other sources to kill cancer cells and shrink tumors. Radiation may come from a machine outside the body (external-beam radiation therapy), or it may come from radioactive material placed in the body near cancer cells (internal radiation therapy or brachytherapy). Systemic radiation therapy uses a radioactive substance, such as a radiolabeled monoclonal antibody, that travels in the blood to tissues throughout the body. Also called irradiation and radiotherapy.",,,,,,
Radical prostatectomy,radical prostatectomy,"Surgery to remove the entire prostate and some of the tissue around it, including the seminal vesicles (a gland that helps make semen). Nearby lymph nodes may also be removed. A radical prostatectomy may be done through an incision (cut) made in the wall of the lower abdomen or in the perineum (the area between the scrotum and anus). It may also be done using a laparoscope (a thin, tube-like instrument with a light and lens for viewing) or a special robotic system. An attempt is made to protect the nerves that control penile erection and the bladder from damage.",,,,,,
rapid on-site evaluation (ROSE),,,,,,,,
recovery,,,,,,,,
Recurrence,recurrence,"Cancer that has recurred (come back), usually after a period of time during which the cancer could not be detected. The cancer may come back to the same place as the original (primary) tumor or to another place in the body. Also called recurrent cancer.",,,,,,
red blood cell (RBC),red blood cell,"A type of blood cell that is made in the bone marrow and found in the blood. Red blood cells contain a protein called hemoglobin, which carries oxygen from the lungs to all parts of the body. Checking the number of red blood cells in the blood is usually part of a complete blood cell (CBC) test. It may be used to look for conditions such as anemia, dehydration, malnutrition, and leukemia. Also called erythrocyte and RBC.",,,,,,
Red blood cell (RBC),red blood cell,"A type of blood cell that is made in the bone marrow and found in the blood. Red blood cells contain a protein called hemoglobin, which carries oxygen from the lungs to all parts of the body. Checking the number of red blood cells in the blood is usually part of a complete blood cell (CBC) test. It may be used to look for conditions such as anemia, dehydration, malnutrition, and leukemia. Also called erythrocyte and RBC.",,,,,,
Refractory,refractory,"In medicine, describes a disease or condition that does not respond to treatment.",,,,,,
Regimen,regimen,"A treatment plan that specifies the dosage, the schedule, and the duration of treatment.",,,,,,
Regional prostate cancer,,,,,,,,
Remission,remission,"A decrease in or disappearance of signs and symptoms of cancer. In partial remission, some, but not all, signs and symptoms of cancer have disappeared. In complete remission, all signs and symptoms of cancer have disappeared, although cancer still may be in the body.",,,,,,
Resistance,clinical resistance,The failure of a cancer to shrink after treatment.,,,,,,
Risk Evaluation and Mitigation Strategy (REMS),,,,,,,,
Risk factor,risk factor,"Something that increases the chance of developing a disease. Some examples of risk factors for cancer are age, a family history of certain cancers, use of tobacco products, being exposed to radiation or certain chemicals, infection with certain viruses or bacteria, and certain genetic changes.",,,,,,
robot-assisted thoracoscopic surgery (RATS),,,,,,,,
ROSE,Rapid On-Site Evaluation (ROSE),"Rapid On-Site Evaluation (ROSE) denotes assessing tissue samples during EBUS (or bronchoscopy), providing instant feedback on sample adequacy and provisional cytomorphological diagnosis.",,,,,,
Scrotal ultrasound,,,,,,,,
Seminal vesicles,seminal vesicle,A gland that helps produce semen.,,,,,,
sentinel lymph node biopsy (SLNB),sentinel lymph node biopsy,"Removal and examination of the sentinel node(s) (the first lymph node(s) to which cancer cells are likely to spread from a primary tumor). To identify the sentinel lymph node(s), the surgeon injects a radioactive substance, blue dye, or both near the tumor. The surgeon then uses a probe to find the sentinel lymph node(s) containing the radioactive substance or looks for the lymph node(s) stained with dye. The surgeon then removes the sentinel node(s) to check for the presence of cancer cells.",,,,,,
small cell lung cancer (SCLC),small cell lung cancer,An aggressive (fast-growing) cancer that forms in tissues of the lung and can spread to other parts of the body. The cancer cells look small and oval-shaped when looked at under a microscope.,,,,,,
solid nodule,,,,,,,,
somatostatin,,,,,,,,
somatostatin receptor (SSTR) scintigraphy,somatostatin receptor scintigraphy,"A type of radionuclide scan used to find carcinoid and other types of tumors. Radioactive octreotide, a drug similar to somatostatin, is injected into a vein and travels through the bloodstream. The radioactive octreotide attaches to tumor cells that have receptors for somatostatin. A radiation-measuring device detects the radioactive octreotide, and makes pictures showing where the tumor cells are in the body. Also called octreotide scan and SRS.",,,,,,
spirometry,Spirometry,,Spirometry is one of the most commonly used approaches to test pulmonary function. It measures the volume of exhaled air vs. time.,,,,,
sporadic,sporadic cancer,Cancer that occurs in people who do not have a family history of that cancer or an inherited change in their DNA that would increase their risk for that cancer.,,,,,,
squamo-columnar junction,squamocolumnar junction,"The area around the opening of the cervix where the endocervix (inner part) and ectocervix (outer part) come together. This area contains both glandular cells (cells that make mucus) from the endocervix and squamous cells (thin, skin-like cells) from the ectocervix. Most abnormal cell changes and most cervical cancers begin in the squamous cells of the squamocolumnar junction. Also called transformation zone.",,,,,,
stem cell transplant (SCT),stem cell transplant,"A procedure in which a patient receives healthy stem cells (blood-forming cells) to replace their own stem cells that have been destroyed by treatment with radiation or high doses of chemotherapy. The healthy stem cells may come from the blood or bone marrow of the patient or from a related or unrelated donor. A stem cell transplant may be autologous (using a patient’s own stem cells that were collected and saved before treatment), allogeneic (using stem cells from a related or unrelated donor), syngeneic (using stem cells donated by an identical twin), or cord blood (using umbilical cord blood donated after a baby is born).",,,,,,
stereotactic ablative radiotherapy (SABR),SABR,"A type of external radiation therapy that uses special equipment to position a patient and precisely deliver radiation to tumors in the body (except the brain). The total dose of radiation is divided into smaller doses given over several days. This type of radiation therapy helps spare normal tissue. Also called SBRT, stereotactic ablative body radiation therapy, and stereotactic body radiation therapy.",,,,,,
Stereotactic body radiation therapy (SBRT),stereotactic body radiation therapy,"A type of external radiation therapy that uses special equipment to position a patient and precisely deliver radiation to tumors in the body (except the brain). The total dose of radiation is divided into smaller doses given over several days. This type of radiation therapy helps spare normal tissue. Also called SABR, SBRT, and stereotactic ablative body radiation therapy.",,,,,,
stereotactic radiosurgery (SRS),stereotactic radiosurgery,"A type of external radiation therapy that uses special equipment to position the patient and precisely give a single large dose of radiation to a tumor. It is used to treat brain tumors and other brain disorders that cannot be treated by regular surgery. It is also being studied in the treatment of other types of cancer. Also called radiation surgery, radiosurgery, and stereotaxic radiosurgery.",,,,,,
Steroid,steroid,"Any of a group of lipids (fats) that have a certain chemical structure. Steroids occur naturally in plants and animals or they may be made in the laboratory. Examples of steroids include sex hormones, cholesterol, bile acids, and some drugs.",,,,,,
Subtype,cancer subtype,"Describes the smaller groups that a type of cancer can be divided into, based on certain characteristics of the cancer cells. These characteristics include how the cancer cells look under a microscope and whether there are certain substances in or on the cells or certain changes to the DNA of the cells. It is important to know the subtype of a cancer in order to plan treatment and determine prognosis.",,,,,,
sun protection factor (SPF),sun protection factor,"A scale for rating the level of sunburn protection in sunscreen products. The higher the sun protection factor, the more sunburn protection it gives. Sunscreens with a value of 2 through 11 give minimal protection against sunburns. Sunscreens with a value of 12 through 29 give moderate protection. Sun protection factors of 30 or higher give high protection against sunburn. Also called SPF.",,,,,,
superior sulcus tumor,pulmonary sulcus tumor,A type of lung cancer that begins in the upper part of a lung and spreads to nearby tissues such as the ribs and vertebrae. Most pulmonary sulcus tumors are non-small cell cancers. Also called Pancoast tumor.,,,,,,
Supportive care,supportive care,"Care given to improve the quality of life of people who have an illness or disease by preventing or treating, as early as possible, the symptoms of the disease and the side effects caused by treatment of the disease. Supportive care includes physical, psychological, social, and spiritual support for patients and their families. There are many types of supportive care. Examples include pain management, nutritional support, counseling, exercise, music therapy, meditation, and palliative care. Supportive care may be given with other treatments from the time of diagnosis until the end of life.",,,,,,
surgical margin,margin,"The edge or border of the tissue removed in cancer surgery. The margin is described as negative or clean when the pathologist finds no cancer cells at the edge of the tissue, suggesting that all of the cancer has been removed. The margin is described as positive or involved when the pathologist finds cancer cells at the edge of the tissue, suggesting that all of the cancer has not been removed.",,,,,,
survivorship care,survivorship care plan,"A detailed plan given to a patient after treatment ends, that contains a summary of the patient’s treatment, along with recommendations for follow-up care. In cancer, the plan is based on the type of cancer and the treatment the patient received. A survivorship care plan may include schedules for physical exams and medical tests to see if the cancer has come back or spread to other parts of the body. Getting follow-up care also helps check for health problems that may occur months or years after treatment ends, including other types of cancer. A survivorship care plan may also include information to help meet the emotional, social, legal, and financial needs of the patient. It may include referrals to specialists and recommendations for a healthy lifestyle, such as changes in diet and exercise and quitting smoking. Also called follow-up care plan.",,,,,,
switch maintenance,,,,,,,,
Systemic therapy,systemic therapy,"Treatment using substances that travel through the bloodstream, reaching and affecting cells all over the body.",,,,,,
talimogene laherparepvec (T-VEC),talimogene laherparepvec,A drug used to treat melanoma that has recurred (come back) after surgery. It is used in patients whose cancer is in the skin and lymph nodes and cannot be removed by surgery. It is also being studied in the treatment of other types of cancer. Talimogene laherparepvec is made with a form of the herpesvirus that has been changed in the laboratory to infect and break down cancer cells without harming normal cells. It may also help the immune system kill cancer cells. Talimogene laherparepvec is injected directly into tumors in the skin and lymph nodes. It is a type of oncolytic virus therapy. Also called Imlygic and T-VEC.,,,,,,
Targeted therapy,targeted therapy,"A type of treatment that uses drugs or other substances to target specific molecules that cancer cells need to survive and spread. Targeted therapies work in different ways to treat cancer. Some stop cancer cells from growing by interrupting signals that cause them to grow and divide, stopping signals that help form blood vessels, delivering cell-killing substances to cancer cells, or starving cancer cells of hormones they need to grow. Other targeted therapies help the immune system kill cancer cells or directly cause cancer cell death. Most targeted therapies are either small-molecule drugs or monoclonal antibodies. Also called molecularly targeted therapy.",,,,,,
thoracic radiologist,,,,,,,,
three-dimensional conformal radiation therapy (3D-CRT),3-dimensional conformal radiation therapy,"A procedure that uses a computer to create a 3-dimensional picture of the tumor. This allows doctors to give the highest possible dose of radiation to the tumor, while sparing the normal tissue as much as possible. Also called 3-dimensional radiation therapy and 3D-CRT.",,,,,,
tocilizumab (Actemra),tocilizumab,"A drug used to treat adults and children aged 2 years and older with severe or life-threatening cytokine release syndrome caused by a type of immunotherapy called chimeric antigen receptor (CAR) T-cell therapy. Tocilizumab is also used to treat certain types of arthritis and a condition that causes inflammation of the lining of the arteries. It is also being studied in the treatment of other conditions. Tocilizumab binds to receptors for a protein called interleukin-6 (IL-6), which is made by white blood cells and other cells in the body. This may help lower the body’s immune response and reduce inflammation. Tocilizumab is a type of monoclonal antibody. Also called Actemra.",,,,,,
transthoracic needle aspiration (TTNA),Transthoracic Needle Biopsy,"Transthoracic needle biopsy is a medical procedure to obtain a sample of tissue from the lung. Usually, this is done when one or more nodules are seen on chest imaging, such as a CT scan",,,,,,
transurethral resection of bladder tumor (TURBT),,,,,,,,
trimodal therapy,,,,,,,,
tumor lysis syndrome (TLS),tumor lysis syndrome,"A condition that can occur after treatment of a fast-growing cancer, especially certain leukemias and lymphomas (cancers of the blood). As tumor cells die, they break apart and release their contents into the blood. This causes a change in certain chemicals in the blood, which may cause damage to organs, including the kidneys, heart, and liver.",,,,,,
tumor-infiltrating lymphocyte (TIL) therapy,TIL therapy,A type of treatment in which tumor-infiltrating lymphocytes (a type of immune cell that can recognize and kill cancer cells) are removed from a patient’s tumor and grown in large numbers in a laboratory. These lymphocytes are then given back to the patient by infusion to help the immune system kill the cancer cells. Also called tumor-infiltrating lymphocyte therapy.,,,,,,
Unresectable,unresectable,Unable to be removed with surgery.,,,,,,
ureters,ureter,The tube that carries urine from the kidney to the bladder.,,,,,,
urogram,intravenous urogram,"An x-ray image of the kidneys, ureters, and bladder, and prostate in men, that is taken after a contrast dye is injected into a vein. As the dye travels through the bloodstream, it collects in these organs, turning them bright white. This allows the health care provider to see blockages or other urinary tract problems on the x-ray pictures. An intravenous urogram may be used to help diagnose certain urinary tract conditions, such as kidney or bladder stones, kidney cysts, urinary tract tumors, and an enlarged prostate. Also called intravenous pyelogram, IVP, and IVU.",,,,,,
urothelial carcinoma,stage 0 transitional cell carcinoma in situ of the renal pelvis and ureter,"Abnormal cells are found in tissue lining the inside of the renal pelvis or ureter. These abnormal cells may become cancer and spread into nearby normal tissue. Stage 0 is divided into stages 0a and 0is, depending on the type of tumor. Stage 0a is also called noninvasive papillary carcinoma, which may look like long, thin growths that grow out from the tissue lining the inside of the renal pelvis or ureter. Stage 0is is also called carcinoma in situ, which is a flat tumor on the tissue lining the inside of the renal pelvis or ureter.",,,,,,
vacuum-assisted core biopsy (VACB),vacuum-assisted core biopsy,A procedure in which a small sample of tissue is removed from the breast. An imaging device is used to guide a hollow probe connected to a vacuum device. The probe is inserted through a tiny cut made in numbed skin on the breast. The tissue sample is removed using gentle vacuum suction and a small rotating knife within the probe. Then the tissue sample is studied under a microscope to check for signs of disease. This procedure causes very little scarring and no stitches are needed. Also called VACB and vacuum-assisted biopsy.,,,,,,
vasoactive intestinal polypeptide (VIP),vasoactive intestinal peptide,"A hormone found in the pancreas, intestine, and central nervous system. It has many actions in the body, such as helping to control the secretion of water, salts, enzymes, and gastric acid during digestion. It also causes smooth muscles in the digestive tract, the heart, and the blood vessels to relax. It also has effects on the immune system and the central nervous system. Certain tumors in the pancreas make large amounts of vasoactive intestinal peptide. Also called VIP hormone.",,,,,,
vasopressor,,Any substance used in the treatment of hypotension. A vasopressor agent increases reduced blood pressure.,,,,,,
VATS,,,,,,,,
volume displacement,,,,,,,,
white blood cell (WBC),white blood cell,"A type of blood cell that is made in the bone marrow and found in the blood and lymph tissue. White blood cells are part of the body’s immune system. They help the body fight infection and other diseases. Types of white blood cells are granulocytes (neutrophils, eosinophils, and basophils), monocytes, and lymphocytes (T cells and B cells). Checking the number of white blood cells in the blood is usually part of a complete blood cell (CBC) test. It may be used to look for conditions such as infection, inflammation, allergies, and leukemia. Also called leukocyte and WBC.",,,,,,
whole breast radiation therapy (WBRT),,,,,,,,
