term,formal_definition,simplified_explanation,formal_fk_grade,formal_flesch_ease,formal_smog,formal_gunning_fog,formal_dale_chall,formal_text_standard,formal_word_count,formal_avg_word_length,formal_avg_syllables_per_word,formal_type_token_ratio,formal_long_word_percentage,simplified_fk_grade,simplified_flesch_ease,simplified_smog,simplified_gunning_fog,simplified_dale_chall,simplified_text_standard,simplified_word_count,simplified_avg_word_length,simplified_avg_syllables_per_word,simplified_type_token_ratio,simplified_long_word_percentage,improvement_fk_grade,improvement_flesch_ease,improvement_smog,improvement_gunning_fog,improvement_dale_chall,improvement_word_length,improvement_syllables,improvement_long_word_percentage,easy_definition
AJCC staging system,"AJCC staging system is A system to describe the amount and spread of cancer in a patient’s body, using TNM. T describes the size of the tumor and any spread of cancer into nearby tissue; N describes spread of cancer to nearby lymph nodes; and M describes metastasis (spread of cancer to other parts of the body). This system was created and is updated by the American Joint Committee on Cancer (AJCC) and the International Union Against Cancer (UICC). The AJCC staging system is used to describe most types of cancer. Also called TNM staging system.",Term 'AJCC staging system' not found in medical dictionary.,9.1,61.67,9.4,9.42,9.09,8th and 9th grade,106,3.9622641509433962,1.2924528301886793,0.5471698113207547,5.660377358490567,8.0,48.47,0.0,15.73,11.83,7th and 8th grade,8,4.25,1.375,1.0,25.0,1.0999999999999996,-13.200000000000003,9.4,-6.3100000000000005,-2.74,-0.28773584905660377,-0.08254716981132071,-19.339622641509433,"A system to describe the amount and spread of cancer in a patient’s body, using TNM. T describes the size of the tumor and any spread of cancer into nearby tissue; N describes spread of cancer to nearby lymph nodes; and M describes metastasis (spread of cancer to other parts of the body). This system was created and is updated by the American Joint Committee on Cancer (AJCC) and the International Union Against Cancer (UICC). The AJCC staging system is used to describe most types of cancer. Also called TNM staging system."
allergic response,allergic response is A hypersensitive immune reaction to a substance that normally is harmless or would not cause an immune response in most people. An allergic response may cause harmful symptoms such as itching or inflammation or tissue injury.,"Okay! Here's my attempt at explaining the term ""allergic response"" in simple language for a non-medical person:

Hey there! So, have you ever heard of something called an allergy? It's when your body gets super sensitive to something like pollen or peanuts, and it thinks it's under attack. Your body then tries to fight back by releasing chemicals that can cause problems like sneezing, itchiness, or even swelling. This is called an allergic response. It's kind of like when you touch something hot and your skin gets red and irritated - it's the same idea, just on a bigger scale. And sometimes, these allergic responses can be really dangerous, so it's important to know what might trigger them and how to stay safe.</s>",11.3,45.25,0.0,12.71,10.37,10th and 11th grade,37,4.756756756756757,1.5675675675675675,0.7837837837837838,13.513513513513514,7.5,71.24,10.9,10.15,7.95,7th and 8th grade,145,3.9379310344827587,1.1724137931034482,0.6896551724137931,8.96551724137931,3.8000000000000007,25.989999999999995,-10.9,2.5600000000000005,2.419999999999999,0.8188257222739983,0.39515377446411937,4.547996272134204,A hypersensitive immune reaction to a substance that normally is harmless or would not cause an immune response in most people. An allergic response may cause harmful symptoms such as itching or inflammation or tissue injury.
allogeneic,allogeneic is Taken from different individuals of the same species. Also called allogenic.,"Alright! Here's my attempt to explain the term ""allogeneic"" in simple language:

Hey there! So, you know how sometimes we share things with our friends or family members? Like a book, a toy, or even food? Well, in medicine, we have something similar called ""allogenic."" It means taking cells, tissues, or organs from one person and giving them to another person who needs them. It's like sharing resources between friends - instead of just sharing toys, we're sharing parts of ourselves to help someone else feel better. Just like how you might share your favorite toy with a friend who really wants it, doctors can share cells or tissues with someone who needs them to fix an injury or sickness.</s>",9.2,40.01,0.0,9.07,9.2,8th and 9th grade,14,4.857142857142857,1.6428571428571428,0.9285714285714286,21.428571428571427,7.5,71.24,9.6,8.12,7.15,7th and 8th grade,146,3.9315068493150687,1.1232876712328768,0.6438356164383562,6.164383561643835,1.6999999999999993,31.229999999999997,-9.6,0.9500000000000011,2.049999999999999,0.9256360078277881,0.519569471624266,15.264187866927593,Taken from different individuals of the same species. Also called allogenic.
allogeneic stem cell transplant,"allogeneic stem cell transplant is A procedure in which a patient receives healthy blood-forming cells (stem cells) from a donor to replace their own stem cells that have been destroyed by treatment with radiation or high doses of chemotherapy. In an allogeneic stem cell transplant, the healthy stem cells may come from the blood or bone marrow of a related donor who is not an identical twin of the patient or from an unrelated donor who is genetically similar to the patient. An allogeneic stem cell transplant is most often used to treat blood cancers, such as leukemia and lymphoma, and certain types of blood or immune system disorders.","Okay! Here's my attempt to explain ""allogeneic stem cell transplant"" in simple language for a non-medical person:

Imagine your body is like a factory that produces different types of cells, like cars on an assembly line. When you have cancer or another disease, it's like a tornado has hit the factory and destroyed all the good cells. An allogeneic stem cell transplant is like getting a brand new set of instructions for your factory. The doctor will give you healthy stem cells from someone else's body (a donor) to help fix the damage and get your factory back up and running again. These stem cells come from either a related donor (like a sibling or parent) or an unrelated donor who is similar to you. This type of transplant is usually done to treat blood cancers or other problems with the blood or immune system.

I hope this explanation helps! Let me know if you have any questions.</s>",14.7,47.15,14.6,17.46,9.31,14th and 15th grade,105,4.285714285714286,1.4,0.6095238095238096,11.428571428571429,9.4,60.85,11.7,10.45,8.04,8th and 9th grade,173,3.959537572254335,1.283236994219653,0.6473988439306358,9.826589595375722,5.299999999999999,13.700000000000003,2.9000000000000004,7.010000000000002,1.2700000000000014,0.3261767134599505,0.11676300578034682,1.6019818331957065,"A procedure in which a patient receives healthy blood-forming cells (stem cells) from a donor to replace their own stem cells that have been destroyed by treatment with radiation or high doses of chemotherapy. In an allogeneic stem cell transplant, the healthy stem cells may come from the blood or bone marrow of a related donor who is not an identical twin of the patient or from an unrelated donor who is genetically similar to the patient. An allogeneic stem cell transplant is most often used to treat blood cancers, such as leukemia and lymphoma, and certain types of blood or immune system disorders."
androgen deprivation,"androgen deprivation is Treatment to suppress or block the production or action of male hormones. This is done by having the testicles removed, by taking female sex hormones, or by taking drugs called antiandrogens. Also called 44369 and androgen ablation.","Sure! Here's an explanation of ""androgen deprivation"" that a non-medical person could understand:

Androgen deprivation is a treatment for some types of cancer. It works by stopping the body from making too many male hormones, like testosterone. Imagine your body is like a factory, and these hormones are like the workers inside. By removing the workers or blocking their path, the factory can't produce as much. This can help slow down the growth of the cancer cells. There are different ways to do this, like surgery to remove the testicles, taking certain medicines called antiandrogens, or even giving estrogen to women. The goal is to reduce the amount of male hormones in the body to help fight the cancer.</s>",8.2,58.58,10.5,10.34,10.5,10th and 11th grade,43,4.604651162790698,1.3953488372093024,0.7209302325581395,11.627906976744185,8.5,63.29,11.2,10.04,7.88,9th and 10th grade,136,4.132352941176471,1.2794117647058822,0.6544117647058824,10.294117647058822,-0.3000000000000007,4.710000000000001,-0.6999999999999993,0.3000000000000007,2.62,0.47229822161422685,0.11593707250342011,1.333789329685363,"Treatment to suppress or block the production or action of male hormones. This is done by having the testicles removed, by taking female sex hormones, or by taking drugs called antiandrogens. Also called 44369 and androgen ablation."
antiandrogen,"antiandrogen is A substance that keeps androgens (male sex hormones) from binding to proteins called androgen receptors, which are found in normal prostate cells, some prostate cancer cells, and in cells of some other tissues. Preventing this binding blocks the effects of these hormones in the body. Treatment with antiandrogens may keep prostate cancer cells from growing. Examples of antiandrogens used to treat prostate cancer are apalutamide, bicalutamide, darolutamide, enzalutamide, flutamide, and nilutamide. Also called androgen receptor antagonist and androgen receptor blocker.","Sure! Here's my attempt to explain the term ""antiandrogen"" in simple language for a non-medical person:

An antiandrogen is like a magic spray that blocks male hormones (called androgens) from reaching certain cells in your body. These cells are found in your prostate gland and some cancer cells there, as well as in other tissues. By blocking the hormones, the cells can't grow or multiply too fast, which can help slow down the growth of cancer. Doctors use antiandrogens to treat prostate cancer by stopping the hormones from helping the cancer cells grow. Some common antiandrogens used for this purpose include apalutamide, bicalutamide, and enzalutamide.</s>",12.0,38.11,13.7,12.9,10.48,11th and 12th grade,96,5.15625,1.4895833333333333,0.6145833333333334,17.708333333333336,10.1,59.03,10.4,10.57,8.64,10th and 11th grade,123,4.373983739837398,1.2276422764227641,0.7073170731707317,6.504065040650407,1.9000000000000004,20.92,3.299999999999999,2.33,1.8399999999999999,0.7822662601626016,0.2619410569105691,11.20426829268293,"A substance that keeps androgens (male sex hormones) from binding to proteins called androgen receptors, which are found in normal prostate cells, some prostate cancer cells, and in cells of some other tissues. Preventing this binding blocks the effects of these hormones in the body. Treatment with antiandrogens may keep prostate cancer cells from growing. Examples of antiandrogens used to treat prostate cancer are apalutamide, bicalutamide, darolutamide, enzalutamide, flutamide, and nilutamide. Also called androgen receptor antagonist and androgen receptor blocker."
antibody,antibody is A protein made by plasma cells (a type of white blood cell) in response to an antigen (a substance that causes the body to make a specific immune response). Each antibody can bind to only one specific antigen. The purpose of this binding is to help destroy the antigen. Some antibodies destroy antigens directly. Others make it easier for white blood cells to destroy the antigen. An antibody is a type of immunoglobulin.,"Sure, I'd be happy to explain the term ""antibody"" in simple language!

An antibody is like a superhero protector for your body. When it detects a bad guy (like a germ or virus) inside your body, it creates a special suit (called an antibody molecule) that fits perfectly around the bad guy. This helps the antibody grab onto the bad guy and either destroy it or make it easy for other parts of your immune system to do so. It's like a custom-made security blanket for your body! And the best part is, each antibody can only fight against one specific bad guy, so it's like having a team of personalized bodyguards working for you.</s>",6.8,67.76,10.9,8.69,8.18,6th and 7th grade,82,4.085365853658536,1.353658536585366,0.573170731707317,13.414634146341465,8.1,69.82,10.1,10.23,7.7,7th and 8th grade,131,3.6717557251908395,1.1908396946564885,0.6412213740458015,6.870229007633588,-1.2999999999999998,2.059999999999988,0.8000000000000007,-1.540000000000001,0.47999999999999954,0.41361012846769674,0.1628188419288774,6.5444051387078765,A protein made by plasma cells (a type of white blood cell) in response to an antigen (a substance that causes the body to make a specific immune response). Each antibody can bind to only one specific antigen. The purpose of this binding is to help destroy the antigen. Some antibodies destroy antigens directly. Others make it easier for white blood cells to destroy the antigen. An antibody is a type of immunoglobulin.
antiestrogen,"antiestrogen is A substance that keeps cells from making or using estrogen (a hormone that plays a role in female sex characteristics, the menstrual cycle, and pregnancy). Antiestrogens may stop some cancer cells from growing and are used to prevent and treat breast cancer. They are also being studied in the treatment of other types of cancer. An antiestrogen is a type of hormone antagonist. Also called estrogen blocker.","Okay! Here's my attempt to explain ""antiestrogen"" in simple language for a non-medical person:

An antiestrogen is a special medicine that blocks the action of estrogen in your body. Estrogen is a hormone that helps with female sexual development and reproduction, but sometimes it can cause problems like breast cancer. An antiestrogen works by stopping estrogen from doing its job in certain cells, which can help keep cancer from growing. It's kind of like turning off a light switch - the medicine blocks the signal that tells the cells to grow and divide, and that helps keep them from becoming cancerous. Antiestrogens are used to treat some kinds of cancer, like breast cancer, and they're still being studied for use in other types of cancer too.</s>",7.3,66.33,9.9,8.94,10.19,8th and 9th grade,76,4.368421052631579,1.355263157894737,0.6842105263157895,9.210526315789473,11.6,55.17,12.0,12.06,8.6,11th and 12th grade,142,4.211267605633803,1.2464788732394365,0.6549295774647887,8.450704225352112,-4.3,-11.159999999999997,-2.0999999999999996,-3.120000000000001,1.5899999999999999,0.15715344699777578,0.10878428465530043,0.7598220904373605,"A substance that keeps cells from making or using estrogen (a hormone that plays a role in female sex characteristics, the menstrual cycle, and pregnancy). Antiestrogens may stop some cancer cells from growing and are used to prevent and treat breast cancer. They are also being studied in the treatment of other types of cancer. An antiestrogen is a type of hormone antagonist. Also called estrogen blocker."
areola,areola is The area of dark-colored skin on the breast that surrounds the nipple.,"Sure, I'd be happy to help! Here's an explanation of the term ""areola"" that's easy to understand:

The areola is the darker skin around the nipple on your breast. It's like a frame that surrounds the picture of your nipple. Just like how a picture needs a frame to make it look nice, your nipple needs the areola to look good too! It's a special part of your body that helps your breast look and feel its best.

For example, imagine a painting with a beautiful landscape. The painting has a frame around it to showcase the beauty of the landscape inside. Similarly, the areola is like a frame for your nipple, highlighting its importance and making it stand out.

I hope this helps! Let me know if you have any other questions.</s>",7.2,66.74,0.0,8.28,7.93,7th and 8th grade,14,4.357142857142857,1.3571428571428572,0.8571428571428571,14.285714285714285,4.8,83.76,8.5,7.02,6.23,5th and 6th grade,154,3.727272727272727,1.1233766233766234,0.5454545454545454,5.194805194805195,2.4000000000000004,17.02000000000001,-8.5,1.2599999999999998,1.6999999999999993,0.6298701298701297,0.23376623376623384,9.09090909090909,The area of dark-colored skin on the breast that surrounds the nipple.
aromatase inhibitor,"aromatase inhibitor is A drug that blocks the activity of an enzyme called aromatase, which the body uses to make estrogen in the ovaries and other tissues. Blocking aromatase lowers the amount of estrogen made by the body, which may stop the growth of cancer cells that need estrogen to grow. Aromatase inhibitors are used to treat some types of breast cancer or to keep it from coming back. They may also be used to help prevent breast cancer in some women who are at a high risk of developing it. Examples of aromatase inhibitors are anastrozole, letrozole, and exemestane. Aromatase inhibitors are a type of hormone therapy. Also called AI drug.","Okay, I'm here to help! Here's my attempt at explaining the term ""aromatase inhibitor"" in simple language:

An aromatase inhibitor is a medicine that stops the body from making estrogen. Estrogen is a hormone that helps some types of cancer cells grow. By blocking the enzyme aromatase, the medicine prevents the body from making estrogen, which can slow down or stop the growth of those cancer cells. This type of medicine is often used to treat breast cancer or to lower the chance of it coming back. Exemestane, letrozole, and anastrozole are examples of aromatase inhibitors. These medicines are like a ""stop sign"" for estrogen production, helping to keep cancer cells from growing and spreading.</s>",8.2,64.0,10.9,9.55,8.43,8th and 9th grade,121,4.297520661157025,1.3636363636363635,0.5702479338842975,10.743801652892563,8.3,63.8,11.2,9.24,8.41,7th and 8th grade,133,4.18796992481203,1.2406015037593985,0.631578947368421,10.526315789473683,-0.10000000000000142,-0.20000000000000284,-0.29999999999999893,0.3100000000000005,0.019999999999999574,0.10955073634499435,0.12303485987696505,0.21748586341887943,"A drug that blocks the activity of an enzyme called aromatase, which the body uses to make estrogen in the ovaries and other tissues. Blocking aromatase lowers the amount of estrogen made by the body, which may stop the growth of cancer cells that need estrogen to grow. Aromatase inhibitors are used to treat some types of breast cancer or to keep it from coming back. They may also be used to help prevent breast cancer in some women who are at a high risk of developing it. Examples of aromatase inhibitors are anastrozole, letrozole, and exemestane. Aromatase inhibitors are a type of hormone therapy. Also called AI drug."
autologous,"autologous is Taken from an individual's own tissues, cells, or DNA.","Sure, I'd be happy to help! Here's how I would explain the term ""autologous"" in a way that's easy to understand for a non-medical person:

Autologous means something that comes from your own body. It's like when you have a piece of candy and you give it back to yourself. The same thing happens with cells or tissues in medicine. Doctors take some of your own cells or tissues and use them to fix or replace something else in your body. For example, they might take some of your skin cells and use them to cover up a burn. Or they might take some of your bone marrow and use it to treat a disease. So, autologous means coming from your own body, just like how you would give a piece of candy back to yourself.</s>",9.6,44.41,0.0,12.0,10.45,9th and 10th grade,14,3.4285714285714284,1.2857142857142858,0.9285714285714286,14.285714285714285,5.0,88.47,7.2,7.24,5.88,5th and 6th grade,154,3.564935064935065,1.0649350649350648,0.5324675324675324,2.5974025974025974,4.6,44.06,-7.2,4.76,4.569999999999999,-0.1363636363636367,0.22077922077922096,11.688311688311687,"Taken from an individual's own tissues, cells, or DNA."
autologous stem cell transplant,"autologous stem cell transplant is A procedure in which a patient’s healthy stem cells (blood-forming cells) are collected from the blood or bone marrow before treatment, stored, and then given back to the patient after treatment. An autologous stem cell transplant replaces a patient’s stem cells that were destroyed by treatment with radiation or high doses of chemotherapy. An autologous stem cell transplant is most often used to treat blood cancers, such as leukemia and lymphoma.","Okay! Here's my attempt at explaining the term ""autologous stem cell transplant"" in simple language for a non-medical person:

Imagine your body is like a factory producing different types of cells, like cars on an assembly line. Stem cells are like the raw materials that get turned into these cars. During some treatments like radiation or strong medicines, the factory might produce defective cars that need to be replaced. That's where an autologous stem cell transplant comes in - it's like taking a backup of the good cells from your factory beforehand and storing them somewhere safe, so when you need them, you can use them to replace the bad ones and fix your body's factory. It's like having a spare tire for your body! And, just like how you need the right tools to change a tire, doctors use special medicine and machines to help find and give back the good cells to your body.</s>",10.4,58.32,12.5,12.9,8.89,12th and 13th grade,76,4.2894736842105265,1.3026315789473684,0.7105263157894737,10.526315789473683,10.5,63.53,12.5,12.52,8.29,12th and 13th grade,171,3.9941520467836256,1.1988304093567252,0.6081871345029239,9.35672514619883,-0.09999999999999964,5.210000000000001,0.0,0.3800000000000008,0.6000000000000014,0.295321637426901,0.10380116959064312,1.1695906432748533,"A procedure in which a patient’s healthy stem cells (blood-forming cells) are collected from the blood or bone marrow before treatment, stored, and then given back to the patient after treatment. An autologous stem cell transplant replaces a patient’s stem cells that were destroyed by treatment with radiation or high doses of chemotherapy. An autologous stem cell transplant is most often used to treat blood cancers, such as leukemia and lymphoma."
axillary lymph node,axillary lymph node is A lymph node in the armpit region that drains lymph from the breast and nearby areas.,"Sure! Here's my attempt to explain the term ""axillary lymph node"" in a way that's easy to understand:

An axillary lymph node is like a tiny filter in your armpit. It helps keep your body healthy by catching any bad guys, like germs or cancer cells, that might be trying to spread through your body. This specific lymph node collects lymph fluid from your breast and nearby areas, and then sends it back to your bloodstream so it can be checked for any problems. Just like how you have filters in your home that clean the air you breathe, your axillary lymph nodes help clean the fluids in your body.</s>",6.4,79.6,0.0,9.15,10.05,6th and 7th grade,18,4.0,1.2222222222222223,0.8888888888888888,5.555555555555555,9.9,70.47,8.8,11.55,8.72,8th and 9th grade,120,3.85,1.1083333333333334,0.7,3.3333333333333335,-3.5,-9.129999999999995,-8.8,-2.4000000000000004,1.33,0.1499999999999999,0.11388888888888893,2.222222222222222,A lymph node in the armpit region that drains lymph from the breast and nearby areas.
axillary lymph node dissection,axillary lymph node dissection is Surgery to remove lymph nodes found in the armpit region. Also called axillary dissection.,"Sure! Here's an explanation of ""axillary lymph node dissection"" that's easy to understand:

So, you know how your body has different parts like your arms, legs, and head? Well, there are tiny little things inside your body called lymph nodes that help fight off bad guys like germs and viruses. Sometimes, these lymph nodes can get sick or infected too, and that's when doctors might need to operate on them. Axillary lymph node dissection is when a doctor removes the lymph nodes from the area under your arm, where they connect to your shoulder. It's kind of like cleaning out a closet - the doctor is getting rid of the bad stuff so your body can stay healthy. Just like how you wouldn't want to keep old, broken toys in your closet, your body doesn't want to keep sick lymph nodes around either!</s>",7.4,55.4,0.0,11.0,12.43,10th and 11th grade,17,4.647058823529412,1.4705882352941178,0.9411764705882353,17.647058823529413,8.4,74.22,9.3,10.41,6.98,10th and 11th grade,163,3.7300613496932513,1.0736196319018405,0.6257668711656442,4.294478527607362,-1.0,18.82,-9.3,0.5899999999999999,5.449999999999999,0.9169974738361608,0.39696860339227724,13.352580295922051,Surgery to remove lymph nodes found in the armpit region. Also called axillary dissection.
bacillus Calmette-Guérin,bacillus Calmette-Guérin is A weakened form of the bacterium Mycobacterium bovis (bacillus Calmette-Guérin) that does not cause disease. Bacillus Calmette-Guérin is used in a solution to stimulate the immune system in the treatment of bladder cancer and as a vaccine to prevent tuberculosis. Also called BCG.,Term 'bacillus Calmette-Guérin' not found in medical dictionary.,9.9,48.81,11.9,11.31,11.85,11th and 12th grade,47,4.617021276595745,1.5106382978723405,0.7872340425531915,14.893617021276595,8.0,48.47,0.0,15.73,11.83,7th and 8th grade,8,4.25,1.375,1.0,25.0,1.9000000000000004,-0.3400000000000034,11.9,-4.42,0.019999999999999574,0.3670212765957448,0.1356382978723405,-10.106382978723405,A weakened form of the bacterium Mycobacterium bovis (bacillus Calmette-Guérin) that does not cause disease. Bacillus Calmette-Guérin is used in a solution to stimulate the immune system in the treatment of bladder cancer and as a vaccine to prevent tuberculosis. Also called BCG.
BCR::ABL1 fusion protein,"BCR::ABL1 fusion protein is A protein made from pieces of two genes that get joined together. The BCR::ABL1 fusion protein is found in most people with chronic myelogenous leukemia, and in some people with acute lymphoblastic leukemia or acute myelogenous leukemia. Inside the leukemia cells, the ABL1 gene from chromosome 9 joins to the BCR gene on chromosome 22 to form the BCR::ABL1 fusion gene, which makes the BCR::ABL1 fusion protein. Also called BCR-ABL1 fusion protein.",Term 'BCR::ABL1 fusion protein' not found in medical dictionary.,9.8,54.42,12.2,9.11,9.18,10th and 11th grade,76,4.421052631578948,1.368421052631579,0.6447368421052632,13.157894736842104,8.0,48.47,0.0,15.73,11.83,7th and 8th grade,8,4.25,1.375,1.0,25.0,1.8000000000000007,-5.950000000000003,12.2,-6.620000000000001,-2.6500000000000004,0.1710526315789478,-0.006578947368421018,-11.842105263157896,"A protein made from pieces of two genes that get joined together. The BCR::ABL1 fusion protein is found in most people with chronic myelogenous leukemia, and in some people with acute lymphoblastic leukemia or acute myelogenous leukemia. Inside the leukemia cells, the ABL1 gene from chromosome 9 joins to the BCR gene on chromosome 22 to form the BCR::ABL1 fusion gene, which makes the BCR::ABL1 fusion protein. Also called BCR-ABL1 fusion protein."
diagnostic mammogram,diagnostic mammogram is An x-ray picture of the breast used to check for breast cancer after a lump or other sign or symptom of the disease has been found. It is also used to follow up on a suspicious change found during a screening mammogram. A diagnostic mammogram usually involves taking more detailed x-ray pictures of the breast from different angles to check the suspicious area more closely.,"Sure, I'd be happy to help! Here's an explanation of a diagnostic mammogram that's easy to understand:

A diagnostic mammogram is like a special kind of picture taken of your breast to help doctors figure out if you might have breast cancer. If you find a lump or something else unusual in your breast, doctors will use a mammogram to take close-up pictures of that area to look for any signs of cancer. They might take several pictures from different angles to get a better look. It's like taking a series of photos of a puzzle piece to see if there are any clues hidden inside. The goal is to help doctors figure out what's going on and come up with a plan to treat it.</s>",10.4,58.32,11.2,11.02,8.15,10th and 11th grade,67,4.373134328358209,1.3880597014925373,0.6716417910447762,8.955223880597014,7.7,76.25,8.8,9.43,6.46,8th and 9th grade,138,3.7028985507246377,1.1884057971014492,0.6376811594202898,4.3478260869565215,2.7,17.93,2.3999999999999986,1.5899999999999999,1.6900000000000004,0.6702357776335717,0.1996539043910881,4.607397793640493,An x-ray picture of the breast used to check for breast cancer after a lump or other sign or symptom of the disease has been found. It is also used to follow up on a suspicious change found during a screening mammogram. A diagnostic mammogram usually involves taking more detailed x-ray pictures of the breast from different angles to check the suspicious area more closely.
oophorectomy,oophorectomy is Surgery to remove one or both ovaries.,"Sure! Here's an explanation of oophorectomy that meets your requirements:

An oophorectomy is a surgery where a doctor removes one or both of your ovaries. Your ovaries are like two small factories inside your body that produce eggs and hormones that help you grow and feel healthy. During an oophorectomy, the doctor will make a small cut in your belly and take out one or both of your ovaries. This can be done for different reasons, such as to treat cancer or to relieve pain. It's important to talk to your doctor about why you need the surgery and what you can expect during and after the procedure.</s>",6.4,63.36,0.0,13.2,7.98,7th and 8th grade,9,3.7777777777777777,1.4444444444444444,1.0,22.22222222222222,9.1,67.08,11.6,10.69,7.08,7th and 8th grade,118,3.9322033898305087,1.2372881355932204,0.6440677966101694,9.322033898305085,-2.6999999999999993,3.719999999999999,-11.6,2.51,0.9000000000000004,-0.15442561205273098,0.20715630885122405,12.900188323917137,Surgery to remove one or both ovaries.
biosimilar drug,"biosimilar drug is A biological drug that is very much like another biological drug (called the reference drug) that has already been approved by the U.S. Food and Drug Administration (FDA). Biosimilar drugs and reference drugs are made from living organisms but they may be made in different ways and of slightly different substances. To be called a biosimilar drug, a biological drug must be shown to be as safe as, work as well as, and work in the same way as its reference drug. It must also be used in the same way, at the same dose, and for the same condition as the reference drug. Biosimilar drugs must be approved by FDA, and may cost less than the reference drugs.","Okay! Here's my attempt to explain the term ""biosimilar drug"" in a simple and easy-to-understand way:

A biosimilar drug is like a copycat version of an existing medicine. Just like how you might find a similar-tasting candy that's not exactly the same as your favorite one, but still tastes good, a biosimilar drug is a similar version of a medicine that's been approved by the FDA. Both the original medicine and the biosimilar drug have to work the same way and be just as safe and effective, but the biosimilar drug might be a little cheaper. So, it's like getting a similar treat at a lower price!</s>",9.8,59.94,13.6,10.59,7.02,9th and 10th grade,133,3.9473684210526314,1.300751879699248,0.47368421052631576,15.037593984962406,11.6,55.27,13.8,12.61,7.45,11th and 12th grade,116,3.7155172413793105,1.2155172413793103,0.6206896551724138,12.068965517241379,-1.799999999999999,-4.669999999999995,-0.20000000000000107,-2.0199999999999996,-0.4300000000000006,0.23185117967332092,0.08523463831993783,2.968628467721027,"A biological drug that is very much like another biological drug (called the reference drug) that has already been approved by the U.S. Food and Drug Administration (FDA). Biosimilar drugs and reference drugs are made from living organisms but they may be made in different ways and of slightly different substances. To be called a biosimilar drug, a biological drug must be shown to be as safe as, work as well as, and work in the same way as its reference drug. It must also be used in the same way, at the same dose, and for the same condition as the reference drug. Biosimilar drugs must be approved by FDA, and may cost less than the reference drugs."
blast,blast is An immature blood cell.,"Sure! Here's my attempt to explain the medical term ""blast"" in simple language:

A blast is a type of immature blood cell. Think of it like a baby version of a red blood cell or white blood cell. These cells are still growing and developing, so they don't have all the powers and functions that adult cells do. They're like little kids trying to learn how to walk - they're not quite there yet! But with time and growth, they'll become stronger and more mature. In the meantime, they might need some extra help from other cells to keep the body healthy.</s>",2.9,83.32,0.0,10.0,7.04,2nd and 3rd grade,6,3.6666666666666665,1.1666666666666667,1.0,16.666666666666664,6.2,80.11,7.2,7.81,7.49,7th and 8th grade,120,3.725,1.0416666666666667,0.7166666666666667,2.5,-3.3000000000000003,-3.2099999999999937,-7.2,2.1900000000000004,-0.4500000000000002,-0.05833333333333357,0.125,14.166666666666664,An immature blood cell.
blood stem cell,"blood stem cell is An immature cell that can develop into all types of blood cells, including white blood cells, red blood cells, and platelets. Blood stem cells are found in the peripheral blood and the bone marrow. Also called hematopoietic stem cell.","Sure, I'd be happy to help! Here's my attempt at explaining the term ""blood stem cell"" in simple language:

A blood stem cell is like a superhero for your body's blood system. It has the power to turn into any type of blood cell - like a white blood cell, red blood cell, or platelet - to keep your body healthy and strong. These stem cells live in two places in your body: the bloodstream and the bone marrow. They work like magic, repairing damaged cells and making new ones when needed. Just like how you might have different tools in your toolbox to fix things around the house, these stem cells have different jobs to keep your blood system running smoothly. And they do it all without you even realizing it!</s>",6.1,74.9,10.5,10.32,8.24,6th and 7th grade,46,4.304347826086956,1.1956521739130435,0.6739130434782609,10.869565217391305,6.7,78.89,8.4,8.37,7.32,7th and 8th grade,148,3.7905405405405403,1.1081081081081081,0.6283783783783784,4.054054054054054,-0.6000000000000005,3.989999999999995,2.0999999999999996,1.950000000000001,0.9199999999999999,0.5138072855464157,0.08754406580493534,6.81551116333725,"An immature cell that can develop into all types of blood cells, including white blood cells, red blood cells, and platelets. Blood stem cells are found in the peripheral blood and the bone marrow. Also called hematopoietic stem cell."
bone mineral density,"bone mineral density is A measure of the amount of minerals (mostly calcium and phosphorous) contained in a certain volume of bone. Bone mineral density measurements are used to diagnose osteoporosis (a condition marked by decreased bone mass), to see how well osteoporosis treatments are working, and to predict how likely the bones are to break. Low bone mineral density can occur in patients treated for cancer. Also called BMD, bone density, and bone mass.","Sure, I'd be happy to help! Here's an explanation of bone mineral density that a non-medical person could understand:

Bone mineral density (BMD) measures how much minerals like calcium and phosphorus are inside your bones. It's like measuring how heavy your bones are compared to their size. If you have low BMD, it means your bones are not as dense as they should be, which can make them more likely to break. This can happen to people who have cancer or who are taking certain medicines that can weaken their bones. Doctors use BMD tests to check if you have osteoporosis, a condition where your bones get weaker and more likely to break. They also use these tests to see if treatments are working and to predict if your bones will break easily in the future. Think of it like a scale that measures how much weight your bones can hold - the higher the number, the stronger your bones are!</s>",9.7,54.73,11.7,11.45,9.96,10th and 11th grade,78,4.256410256410256,1.358974358974359,0.6538461538461539,11.538461538461538,7.3,77.27,9.8,10.32,7.57,9th and 10th grade,177,3.943502824858757,1.1638418079096045,0.5706214689265536,6.214689265536723,2.3999999999999995,22.54,1.8999999999999986,1.129999999999999,2.3900000000000006,0.31290743155149947,0.19513255106475458,5.323772272924815,"A measure of the amount of minerals (mostly calcium and phosphorous) contained in a certain volume of bone. Bone mineral density measurements are used to diagnose osteoporosis (a condition marked by decreased bone mass), to see how well osteoporosis treatments are working, and to predict how likely the bones are to break. Low bone mineral density can occur in patients treated for cancer. Also called BMD, bone density, and bone mass."
